Frans,Nederlands,Duits,Begin,Einde,Name
,Puurs-Sint-Amands,,01.01.2019,31.12.9999,Puurs-Sint-Amands
,Deinze,,01.01.2019,31.12.9999,Deinze
,Aalter,,01.01.2019,31.12.9999,Aalter
,Lievegem,,01.01.2019,31.12.9999,Lievegem
,Kruisem,,01.01.2019,31.12.9999,Kruisem
Enghien,Edingen,,01.01.2019,31.12.9999,Edingen
Silly,Opzullik,,01.01.2019,31.12.9999,Opzullik
Lessines,Lessen,,01.01.2019,31.12.9999,Lessen
Seneffe,-,-,01.01.2019,31.12.9999,Seneffe
Manage,-,-,01.01.2019,31.12.9999,Manage
Mouscron,Moeskroen,,01.01.2019,31.12.9999,Moeskroen
Comines-Warneton,Komen-Waasten,,01.01.2019,31.12.9999,Komen-Waasten
La Louvière,-,-,01.01.2019,31.12.9999,La Louvière
Binche,-,-,01.01.2019,31.12.9999,Binche
Estinnes,-,-,01.01.2019,31.12.9999,Estinnes
Morlanwelz,-,-,01.01.2019,31.12.9999,Morlanwelz
-,Oudsbergen,-,01.01.2019,31.12.9999,Oudsbergen
,Pelt,,01.01.2019,31.12.9999,Pelt
Pr.Anvers,Pr.Antwerpen,Pr.Antwerpen,01.01.0001,31.12.9999,Pr.Antwerpen
-,Aartselaar,-,01.01.0001,31.12.9999,Aartselaar
Anvers,Antwerpen,Antwerpen,01.01.0001,31.12.9999,Antwerpen
-,Berchem (Ant.),-,01.01.0001,01.01.1983,Berchem (Ant.)
-,Boechout,-,01.01.0001,31.12.9999,Boechout
-,Boom,-,01.01.0001,31.12.9999,Boom
-,Borgerhout,-,01.01.0001,01.01.1983,Borgerhout
-,Borsbeek,-,01.01.0001,31.12.9999,Borsbeek
-,Brasschaat,-,01.01.0001,31.12.9999,Brasschaat
-,Brecht,-,01.01.0001,31.12.9999,Brecht
-,Broechem,-,01.01.0001,03.01.1977,Broechem
-,Burcht,-,01.01.0001,03.01.1977,Burcht
-,Deurne (Ant.),-,01.01.0001,01.01.1983,Deurne (Ant.)
-,Edegem,-,01.01.0001,31.12.9999,Edegem
-,Ekeren,-,01.01.0001,01.01.1983,Ekeren
-,Emblem,-,01.01.0001,03.01.1977,Emblem
-,Essen,-,01.01.0001,31.12.9999,Essen
-,Halle (Kempen),-,01.01.0001,02.01.1977,Halle (Kempen)
-,Hemiksem,-,01.01.0001,31.12.9999,Hemiksem
-,Hoboken,-,01.01.0001,01.01.1983,Hoboken
-,Hoevenen,-,01.01.0001,03.01.1977,Hoevenen
-,Hove,-,01.01.0001,31.12.9999,Hove
-,Kalmthout,-,01.01.0001,31.12.9999,Kalmthout
-,Kapellen,-,01.01.0001,31.12.9999,Kapellen
-,Kontich,-,01.01.0001,31.12.9999,Kontich
-,Lint,-,01.01.0001,31.12.9999,Lint
-,Loenhout,-,01.01.0001,02.01.1977,Loenhout
-,Massenhoven,-,01.01.0001,01.01.1977,Massenhoven
-,Merksem,-,01.01.0001,01.01.1983,Merksem
-,Mortsel,-,01.01.0001,31.12.9999,Mortsel
-,Niel,-,01.01.0001,31.12.9999,Niel
-,Oelegem,-,01.01.0001,03.01.1977,Oelegem
-,Oostmalle,-,01.01.0001,02.01.1977,Oostmalle
-,Pulderbos,-,01.01.0001,01.01.1977,Pulderbos
-,Pulle,-,01.01.0001,01.01.1977,Pulle
-,Ranst,-,01.01.0001,31.12.9999,Ranst
-,Reet,-,01.01.0001,02.01.1977,Reet
-,Rumst,-,01.01.0001,31.12.9999,Rumst
-,Schelle,-,01.01.0001,31.12.9999,Schelle
-,Schilde,-,01.01.0001,31.12.9999,Schilde
-,Schoten,-,01.01.0001,31.12.9999,Schoten
-,s Gravenwezel,-,01.01.0001,02.01.1977,s Gravenwezel
-,Sint-Job-in-'t-Goor,-,01.01.0001,01.01.1977,Sint-Job-in-'t-Goor
-,Sint-Lenaarts,-,01.01.0001,01.01.1977,Sint-Lenaarts
-,Stabroek,-,01.01.0001,31.12.9999,Stabroek
-,Terhagen,-,01.01.0001,02.01.1977,Terhagen
-,Viersel,-,01.01.0001,01.01.1977,Viersel
-,Vremde,-,01.01.0001,03.01.1977,Vremde
-,Waarloos,-,01.01.0001,03.01.1977,Waarloos
-,Westmalle,-,01.01.0001,19.10.1979,Westmalle
-,Wijnegem,-,01.01.0001,31.12.9999,Wijnegem
-,Wilrijk,-,01.01.0001,01.01.1983,Wilrijk
-,Wommelgem,-,01.01.0001,31.12.9999,Wommelgem
-,Wuustwezel,-,01.01.0001,31.12.9999,Wuustwezel
-,Zandhoven,-,01.01.0001,31.12.9999,Zandhoven
-,Zoersel,-,01.01.0001,31.12.9999,Zoersel
-,Zwijndrecht,-,01.01.0001,31.12.9999,Zwijndrecht
-,Malle,-,19.10.1979,31.12.9999,Malle
Anvers(district 2),Antwerpen(district 2),Antwerpen(Distrikt 2),01.01.0001,31.12.9999,Antwerpen(district 2)
Brecht(district 2),Brecht(district 2),Brecht(Distrikt 2),01.01.0001,31.12.9999,Brecht(district 2)
Anvers(Berendrecht),Antwerpen(Berendrecht),Antwerpen(Berendrecht),01.01.0001,31.12.9999,Antwerpen(Berendrecht)
Anvers(Zandvliet),Antwerpen(Zandvliet),Antwerpen(Zandvliet),01.01.0001,31.12.9999,Antwerpen(Zandvliet)
Anvers (Berendrecht-Zandvliet-Lillo),Antwerpen (Berendrecht-Zandvliet-Lillo),Antwerpen (Berendrecht-Zandvliet-Lillo),01.01.0001,31.12.9999,Antwerpen (Berendrecht-Zandvliet-Lillo)
Anvers(Berchem),Antwerpen(Berchem),Antwerpen(Berchem),01.01.0001,31.12.9999,Antwerpen(Berchem)
Anvers(Borgerhout),Antwerpen(Borgerhout),Antwerpen(Borgerhout),01.01.0001,31.12.9999,Antwerpen(Borgerhout)
Anvers(Deurne),Antwerpen(Deurne),Antwerpen(Deurne),01.01.0001,31.12.9999,Antwerpen(Deurne)
Anvers(Ekeren),Antwerpen(Ekeren),Antwerpen(Ekeren),01.01.0001,31.12.9999,Antwerpen(Ekeren)
Anvers(Hoboken),Antwerpen(Hoboken),Antwerpen(Hoboken),01.01.0001,31.12.9999,Antwerpen(Hoboken)
Anvers(Merksem),Antwerpen(Merksem),Antwerpen(Merksem),01.01.0001,31.12.9999,Antwerpen(Merksem)
Anvers(Wilrijk),Antwerpen(Wilrijk),Antwerpen(Wilrijk),01.01.0001,31.12.9999,Antwerpen(Wilrijk)
Anvers(district 3),Antwerpen(district 3),Antwerpen(Distrikt 3),01.01.0001,31.12.9999,Antwerpen(district 3)
Anvers(district 4),Antwerpen(district 4),Antwerpen(Distrikt 4),01.01.0001,31.12.9999,Antwerpen(district 4)
-,Austruweel,-,01.01.0001,22.03.1929,Austruweel
Anvers(district 5),Antwerpen(district 5),Antwerpen(Distrikt 5),01.01.0001,31.12.9999,Antwerpen(district 5)
-,Deurne-Borgerhout,-,01.01.0001,01.01.1900,Deurne-Borgerhout
-,Lillo,-,01.01.0001,22.03.1958,Lillo
-,Oorderen,-,01.01.0001,22.03.1929,Oorderen
Wilmarsdonck,Wilmarsdonk,-,01.01.0001,22.03.1929,Wilmarsdonk
-,Zandvliet,-,01.01.0001,22.03.1958,Zandvliet
-,Berendrecht,-,01.01.0001,22.03.1958,Berendrecht
-,Beerzel,-,01.01.0001,02.01.1977,Beerzel
-,Berlaar,-,01.01.0001,31.12.9999,Berlaar
-,Bevel,-,01.01.0001,24.02.1977,Bevel
-,Blaasveld,-,01.01.0001,01.01.1977,Blaasveld
-,Bonheiden,-,01.01.0001,31.12.9999,Bonheiden
-,Booischot,-,01.01.0001,01.01.1977,Booischot
-,Bornem,-,01.01.0001,31.12.9999,Bornem
-,Breendonk,-,01.01.0001,01.01.1977,Breendonk
-,Duffel,-,01.01.0001,31.12.9999,Duffel
-,Gestel,-,01.01.0001,12.10.1965,Gestel
