ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name
1,Antwerpen,525935,443.0,204.51,2572,88.2,Antwerpen,51.2211097,4.3997081,"['51.1432868', '51.3776412', '4.2175769', '4.4979684']",Anvers,Antwerpen,Antwerpen,01.01.0001,31.12.9999,Antwerpen
2,Gent,262219,204.0,156.18,1679,102.3,Oost-Vlaanderen,51.0538286,3.7250121,"['50.9795422', '51.187946', '3.5797616', '3.849325']",Gand,Gent,Gent,01.01.0001,31.12.9999,Gent
3,Charleroi,202267,370.0,102.08,1982,73.0,Henegouwen,50.4120332,4.443624400000001,"['50.3527894', '50.4925149', '4.3474458', '4.5075571']",Charleroi,-,-,01.01.0001,31.12.9999,Charleroi
4,Luik,197327,219.0,69.39,2844,81.4,Luik,50.6451381,5.5734203,"['50.5610182', '50.6881981', '5.5233883', '5.675257']",Liège,Luik,Lüttich,01.01.0001,31.12.9999,Liège
5,Brussel,181726,140.0,32.61,5573,70.0,Brussel,50.8465573,4.351697,"['50.6865573', '51.0065573', '4.191697', '4.511697']",Bruxelles,Brussel,-,01.01.0001,31.12.9999,Brussel#Bruxelles
6,Schaarbeek,133309,2.146,8.14,16377,65.4,Brussel,50.8676041,4.3737121,"['50.8434069', '50.8811977', '4.3571322', '4.4130849']",Schaerbeek,Schaarbeek,-,01.01.0001,31.12.9999,Schaarbeek#Schaerbeek
7,Anderlecht,119714,2.0069999999999997,17.74,6747,63.8,Brussel,50.839098299999996,4.3296526,"['50.8070598', '50.850549', '4.2437658', '4.3402385']",Anderlecht,Anderlecht,-,01.01.0001,31.12.9999,Anderlecht
8,Brugge,118325,194.0,138.4,855,111.7,West-Vlaanderen,51.208552600000004,3.226772,"['51.1581918', '51.363347', '3.1341802', '3.309804']",Bruges,Brugge,Brügge,01.01.0001,31.12.9999,Brugge
9,Namen,110779,260.0,175.69,631,99.9,Namen,50.4665284,4.8661892,"['50.3872825', '50.5313007', '4.723053', '4.9841776']",Namur,Namen,-,01.01.0001,31.12.9999,Namur
10,Leuven,101624,288.0,56.63,1794,113.6,Vlaams-Brabant,50.879202,4.7011675,"['50.8242096', '50.9440707', '4.640295', '4.7705305']",Louvain,Leuven,Löwen,01.01.0001,31.12.9999,Leuven
11,Sint-Jans-Molenbeek,97462,808.0,5.89,16542,57.1,Brussel,50.8545959,4.338636,"['50.844035', '50.8714317', '4.2831135', '4.3487272']",Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,-,01.01.0001,31.12.9999,Sint-Jans-Molenbeek
12,Bergen,95613,183.0,146.53,653,88.1,Henegouwen,50.4549568,3.9519580000000003,"['50.3777531', '50.5138107', '3.8547797', '4.085104']",Mons,Bergen,-,01.01.0001,31.12.9999,Mons
13,Elsene,86876,610.0,6.34,13693,89.7,Brussel,50.8331141,4.3668279000000005,"['50.8009321', '50.8406267', '4.3479344', '4.4034045']",Ixelles,Elsene,-,01.01.0001,31.12.9999,Elsene#Ixelles
14,Mechelen,86616,235.0,65.19,1329,104.8,Antwerpen,51.0281381,4.4803453,"['50.9909709', '51.0785768', '4.3700927', '4.549039']",Malines,Mechelen,Mechelen,01.01.0001,31.12.9999,Mechelen
15,Aalst,86445,263.0,78.12,1107,107.6,Oost-Vlaanderen,50.9383226,4.0392147000000005,"['50.8993828', '50.9948309', '3.9824469', '4.1641424']",Alost,Aalst,Aalst,01.01.0001,31.12.9999,Aalst
