Frans,Nederlands,Duits,Begin,Einde
,Puurs-Sint-Amands,,01.01.2019,31.12.9999
,Deinze,,01.01.2019,31.12.9999
,Aalter,,01.01.2019,31.12.9999
,Lievegem,,01.01.2019,31.12.9999
,Kruisem,,01.01.2019,31.12.9999
Enghien,Edingen,,01.01.2019,31.12.9999
Silly,Opzullik,,01.01.2019,31.12.9999
Lessines,Lessen,,01.01.2019,31.12.9999
Seneffe,-,-,01.01.2019,31.12.9999
Manage,-,-,01.01.2019,31.12.9999
Mouscron,Moeskroen,,01.01.2019,31.12.9999
Comines-Warneton,Komen-Waasten,,01.01.2019,31.12.9999
La Louvière,-,-,01.01.2019,31.12.9999
Binche,-,-,01.01.2019,31.12.9999
Estinnes,-,-,01.01.2019,31.12.9999
Morlanwelz,-,-,01.01.2019,31.12.9999
-,Oudsbergen,-,01.01.2019,31.12.9999
,Pelt,,01.01.2019,31.12.9999
Pr.Anvers,Pr.Antwerpen,Pr.Antwerpen,01.01.0001,31.12.9999
-,Aartselaar,-,01.01.0001,31.12.9999
Anvers,Antwerpen,Antwerpen,01.01.0001,31.12.9999
-,Berchem (Ant.),-,01.01.0001,01.01.1983
-,Boechout,-,01.01.0001,31.12.9999
-,Boom,-,01.01.0001,31.12.9999
-,Borgerhout,-,01.01.0001,01.01.1983
-,Borsbeek,-,01.01.0001,31.12.9999
-,Brasschaat,-,01.01.0001,31.12.9999
-,Brecht,-,01.01.0001,31.12.9999
-,Broechem,-,01.01.0001,03.01.1977
-,Burcht,-,01.01.0001,03.01.1977
-,Deurne (Ant.),-,01.01.0001,01.01.1983
-,Edegem,-,01.01.0001,31.12.9999
-,Ekeren,-,01.01.0001,01.01.1983
-,Emblem,-,01.01.0001,03.01.1977
-,Essen,-,01.01.0001,31.12.9999
-,Halle (Kempen),-,01.01.0001,02.01.1977
-,Hemiksem,-,01.01.0001,31.12.9999
-,Hoboken,-,01.01.0001,01.01.1983
-,Hoevenen,-,01.01.0001,03.01.1977
-,Hove,-,01.01.0001,31.12.9999
-,Kalmthout,-,01.01.0001,31.12.9999
-,Kapellen,-,01.01.0001,31.12.9999
-,Kontich,-,01.01.0001,31.12.9999
-,Lint,-,01.01.0001,31.12.9999
-,Loenhout,-,01.01.0001,02.01.1977
-,Massenhoven,-,01.01.0001,01.01.1977
-,Merksem,-,01.01.0001,01.01.1983
-,Mortsel,-,01.01.0001,31.12.9999
-,Niel,-,01.01.0001,31.12.9999
-,Oelegem,-,01.01.0001,03.01.1977
-,Oostmalle,-,01.01.0001,02.01.1977
-,Pulderbos,-,01.01.0001,01.01.1977
-,Pulle,-,01.01.0001,01.01.1977
-,Ranst,-,01.01.0001,31.12.9999
-,Reet,-,01.01.0001,02.01.1977
-,Rumst,-,01.01.0001,31.12.9999
-,Schelle,-,01.01.0001,31.12.9999
-,Schilde,-,01.01.0001,31.12.9999
-,Schoten,-,01.01.0001,31.12.9999
-,s Gravenwezel,-,01.01.0001,02.01.1977
-,Sint-Job-in-'t-Goor,-,01.01.0001,01.01.1977
-,Sint-Lenaarts,-,01.01.0001,01.01.1977
-,Stabroek,-,01.01.0001,31.12.9999
-,Terhagen,-,01.01.0001,02.01.1977
-,Viersel,-,01.01.0001,01.01.1977
-,Vremde,-,01.01.0001,03.01.1977
-,Waarloos,-,01.01.0001,03.01.1977
-,Westmalle,-,01.01.0001,19.10.1979
-,Wijnegem,-,01.01.0001,31.12.9999
-,Wilrijk,-,01.01.0001,01.01.1983
-,Wommelgem,-,01.01.0001,31.12.9999
-,Wuustwezel,-,01.01.0001,31.12.9999
-,Zandhoven,-,01.01.0001,31.12.9999
-,Zoersel,-,01.01.0001,31.12.9999
-,Zwijndrecht,-,01.01.0001,31.12.9999
-,Malle,-,19.10.1979,31.12.9999
Anvers(district 2),Antwerpen(district 2),Antwerpen(Distrikt 2),01.01.0001,31.12.9999
Brecht(district 2),Brecht(district 2),Brecht(Distrikt 2),01.01.0001,31.12.9999
Anvers(Berendrecht),Antwerpen(Berendrecht),Antwerpen(Berendrecht),01.01.0001,31.12.9999
Anvers(Zandvliet),Antwerpen(Zandvliet),Antwerpen(Zandvliet),01.01.0001,31.12.9999
Anvers (Berendrecht-Zandvliet-Lillo),Antwerpen (Berendrecht-Zandvliet-Lillo),Antwerpen (Berendrecht-Zandvliet-Lillo),01.01.0001,31.12.9999
Anvers(Berchem),Antwerpen(Berchem),Antwerpen(Berchem),01.01.0001,31.12.9999
Anvers(Borgerhout),Antwerpen(Borgerhout),Antwerpen(Borgerhout),01.01.0001,31.12.9999
Anvers(Deurne),Antwerpen(Deurne),Antwerpen(Deurne),01.01.0001,31.12.9999
Anvers(Ekeren),Antwerpen(Ekeren),Antwerpen(Ekeren),01.01.0001,31.12.9999
Anvers(Hoboken),Antwerpen(Hoboken),Antwerpen(Hoboken),01.01.0001,31.12.9999
Anvers(Merksem),Antwerpen(Merksem),Antwerpen(Merksem),01.01.0001,31.12.9999
Anvers(Wilrijk),Antwerpen(Wilrijk),Antwerpen(Wilrijk),01.01.0001,31.12.9999
Anvers(district 3),Antwerpen(district 3),Antwerpen(Distrikt 3),01.01.0001,31.12.9999
Anvers(district 4),Antwerpen(district 4),Antwerpen(Distrikt 4),01.01.0001,31.12.9999
-,Austruweel,-,01.01.0001,22.03.1929
Anvers(district 5),Antwerpen(district 5),Antwerpen(Distrikt 5),01.01.0001,31.12.9999
-,Deurne-Borgerhout,-,01.01.0001,01.01.1900
-,Lillo,-,01.01.0001,22.03.1958
-,Oorderen,-,01.01.0001,22.03.1929
Wilmarsdonck,Wilmarsdonk,-,01.01.0001,22.03.1929
-,Zandvliet,-,01.01.0001,22.03.1958
-,Berendrecht,-,01.01.0001,22.03.1958
-,Beerzel,-,01.01.0001,02.01.1977
-,Berlaar,-,01.01.0001,31.12.9999
-,Bevel,-,01.01.0001,24.02.1977
-,Blaasveld,-,01.01.0001,01.01.1977
-,Bonheiden,-,01.01.0001,31.12.9999
-,Booischot,-,01.01.0001,01.01.1977
-,Bornem,-,01.01.0001,31.12.9999
-,Breendonk,-,01.01.0001,01.01.1977
-,Duffel,-,01.01.0001,31.12.9999
-,Gestel,-,01.01.0001,12.10.1965
-,Hallaar,-,01.01.0001,01.01.1977
-,Heffen,-,01.01.0001,02.01.1977
-,Heindonk,-,01.01.0001,01.01.1977
-,Heist-op-den-Berg,-,01.01.0001,31.12.9999
-,Hingene,-,01.01.0001,01.01.1977
-,Hombeek,-,01.01.0001,02.01.1977
-,Itegem,-,01.01.0001,01.01.1977
-,Kessel,-,01.01.0001,24.02.1977
-,Koningshooikt,-,01.01.0001,02.01.1977
-,Leest,-,01.01.0001,02.01.1977
Lierre,Lier,Lier,01.01.0001,31.12.9999
-,Liezele,-,01.01.0001,01.01.1977
-,Lippelo,-,01.01.0001,01.01.1977
-,Mariekerke,-,01.01.0001,01.01.1977
Malines,Mechelen,Mechelen,01.01.0001,31.12.9999
-,Nijlen,-,01.01.0001,31.12.9999
-,Onze-Lieve-Vrouw-Waver,-,01.01.0001,02.01.1977
-,Oppuurs,-,01.01.0001,01.01.1977
-,Putte,-,01.01.0001,31.12.9999
-,Puurs,-,01.01.0001,31.12.2018
-,Rijmenam,-,01.01.0001,02.01.1977
-,Ruisbroek (Ant.),-,01.01.0001,01.01.1977
-,Schriek,-,01.01.0001,01.01.1977
-,Sint-Amands,-,01.01.0001,31.12.2018
-,Sint-Katelijne-Waver,-,01.01.0001,31.12.9999
-,Tisselt,-,01.01.0001,01.01.1977
-,Walem,-,01.01.0001,02.01.1977
-,Weert,-,01.01.0001,01.01.1977
-,Wiekevorst,-,01.01.0001,01.01.1977
-,Willebroek,-,01.01.0001,31.12.9999
-,Arendonk,-,01.01.0001,31.12.9999
Baerle-Duc,Baarle-Hertog,Baarle-Hertog,01.01.0001,31.12.9999
-,Balen,-,01.01.0001,31.12.9999
-,Beerse,-,01.01.0001,31.12.9999
-,Bouwel,-,01.01.0001,01.01.1977
-,Dessel,-,01.01.0001,31.12.9999
-,Eindhout,-,01.01.0001,03.01.1977
-,Geel,-,01.01.0001,31.12.9999
-,Gierle,-,01.01.0001,01.01.1977
-,Grobbendonk,-,01.01.0001,31.12.9999
-,Herentals,-,01.01.0001,31.12.9999
-,Herenthout,-,01.01.0001,31.12.9999
-,Herselt,-,01.01.0001,31.12.9999
-,Hoogstraten,-,01.01.0001,31.12.9999
-,Houtvenne,-,01.01.0001,01.01.1977
-,Hulshout,-,01.01.0001,31.12.9999
-,Kasterlee,-,01.01.0001,31.12.9999
-,Lichtaart,-,01.01.0001,01.01.1977
-,Lille,-,01.01.0001,31.12.9999
-,Meer,-,01.01.0001,30.06.1977
-,Meerhout,-,01.01.0001,31.12.9999
-,Meerle,-,01.01.0001,30.06.1977
-,Merksplas,-,01.01.0001,31.12.9999
-,Minderhout,-,01.01.0001,30.06.1977
-,Mol,-,01.01.0001,31.12.9999
-,Morkhoven,-,01.01.0001,01.01.1977
-,Noorderwijk,-,01.01.0001,01.01.1977
-,Oevel,-,01.01.0001,03.01.1977
-,Olen,-,01.01.0001,31.12.9999
-,Olmen,-,01.01.0001,09.08.1977
-,Oud-Turnhout,-,01.01.0001,31.12.9999
-,Poederlee,-,01.01.0001,01.01.1977
-,Poppel,-,01.01.0001,03.01.1977
-,Ramsel,-,01.01.0001,30.06.1977
-,Ravels,-,01.01.0001,31.12.9999
-,Retie,-,01.01.0001,31.12.9999
-,Rijkevorsel,-,01.01.0001,31.12.9999
-,Tielen,-,01.01.0001,01.01.1977
-,Tongerlo (Ant.),-,01.01.0001,09.03.1971
-,Turnhout,-,01.01.0001,31.12.9999
-,Varendonk,-,01.01.0001,30.09.1971
-,Veerle,-,01.01.0001,03.01.1977
-,Vlimmeren,-,01.01.0001,02.01.1977
-,Vorselaar,-,01.01.0001,31.12.9999
-,Vorst (Vl.),-,01.01.0001,03.01.1977
-,Vosselaar,-,01.01.0001,31.12.9999
-,Wechelderzande,-,01.01.0001,01.01.1977
-,Weelde,-,01.01.0001,03.01.1977
-,Westerlo,-,01.01.0001,31.12.9999
-,Westmeerbeek,-,01.01.0001,01.01.1977
-,Wortel,-,01.01.0001,30.06.1977
-,Zoerle-Parwijs,-,01.01.0001,09.03.1971
-,Laakdal,-,03.01.1977,31.12.9999
Pr.Brabant,Pr.Brabant,Pr.Brabant,01.01.0001,31.12.9999
Pr. Brabant flamand,Pr.Vlaams-Brabant,Pr. Flämisch-Brabant,01.01.0001,31.12.9999
Pr. Brabant wallon,Pr.Waals-Brabant,Pr. Wallonisch-Brabant,01.01.0001,31.12.9999
Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Brüsseler Region,01.01.0001,31.12.9999
Anderlecht,Anderlecht,-,01.01.0001,31.12.9999
Auderghem,Oudergem,-,01.01.0001,31.12.9999
Berchem-Sainte-Agathe,Sint-Agatha-Berchem,-,01.01.0001,31.12.9999
Bruxelles,Brussel,-,01.01.0001,31.12.9999
Etterbeek,Etterbeek,-,01.01.0001,31.12.9999
Evere,Evere,-,01.01.0001,31.12.9999
Forest,Vorst,-,01.01.0001,31.12.9999
Ganshoren,Ganshoren,-,01.01.0001,31.12.9999
Ixelles,Elsene,-,01.01.0001,31.12.9999
Jette,Jette,-,01.01.0001,31.12.9999
Koekelberg,Koekelberg,-,01.01.0001,31.12.9999
Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,-,01.01.0001,31.12.9999
Saint-Gilles,Sint-Gillis (bij-Brussel),-,01.01.0001,31.12.9999
Saint-Josse-ten-Noode,Sint-Joost-ten-Node,-,01.01.0001,31.12.9999
Schaerbeek,Schaarbeek,-,01.01.0001,31.12.9999
Uccle,Ukkel,-,01.01.0001,31.12.9999
Watermael-Boitsfort,Watermaal-Bosvoorde,-,01.01.0001,31.12.9999
Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,-,01.01.0001,31.12.9999
Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,-,01.01.0001,31.12.9999
Bruxelles(Etra.),Brussel(Vr.),-,01.01.0001,31.12.9999
Bruxelles II,Brussel II,-,01.01.0001,31.12.9999
Bruxelles(district 2),Brussel(district 2),Brussel(Distrikt 2),01.01.0001,31.12.9999
Haren,Haren,-,01.01.0001,12.04.1921
Laeken,Laken,-,01.01.0001,12.04.1921
Neder-Over-Heembeek,Neder-Over-Heembeek,-,01.01.0001,12.04.1921
Brabant flamand,Vlaams-Brabant,Flämisch-Brabant,01.01.0001,31.12.9999
-,Alsemberg,-,01.01.0001,02.01.1977
-,Asse,-,01.01.0001,31.12.9999
-,Beersel,-,01.01.0001,31.12.9999
Brages,Beert,Beert,01.01.0001,03.01.1977
-,Beigem,-,01.01.0001,03.01.1977
-,Bekkerzeel,-,01.01.0001,02.01.1977
-,Bellingen,-,01.01.0001,03.01.1977
-,Berg (Brab.),-,01.01.0001,02.01.1977
Biévène,Bever,-,01.01.0001,31.12.9999
-,Bogaarden,-,01.01.0001,03.01.1977
-,Borchtlombeek,-,01.01.0001,03.01.1977
-,Brussegem,-,01.01.0001,24.03.1977
-,Buizingen,-,01.01.0001,01.01.1977
-,Buken,-,01.01.0001,02.01.1977
-,Diegem,-,01.01.0001,02.01.1977
-,Dilbeek,-,01.01.0001,31.12.9999
Tourneppe,Dworp,Dworp,01.01.0001,02.01.1977
-,Elewijt,-,01.01.0001,01.01.1977
-,Elingen,-,01.01.0001,03.01.1977
-,Eppegem,-,01.01.0001,01.01.1977
-,Essene,-,01.01.0001,01.01.1977
-,Gaasbeek,-,01.01.0001,01.01.1977
Gammerages,Galmaarden,Galmaarden,01.01.0001,31.12.9999
-,Gooik,-,01.01.0001,31.12.9999
-,Grimbergen,-,01.01.0001,31.12.9999
-,Groot-Bijgaarden,-,01.01.0001,02.01.1977
Hal,Halle,Halle,01.01.0001,31.12.9999
-,Hamme (Brab.),-,01.01.0001,01.01.1977
-,Heikruis,-,01.01.0001,03.01.1977
-,Hekelgem,-,01.01.0001,20.09.1980
-,Herfelingen,-,01.01.0001,28.04.1977
-,Herne,-,01.01.0001,31.12.9999
-,Hoeilaart,-,01.01.0001,31.12.9999
-,Hofstade (Brab.),-,01.01.0001,01.01.1977
-,Huizingen,-,01.01.0001,02.01.1977
-,Humbeek,-,01.01.0001,03.01.1977
-,Itterbeek,-,01.01.0001,02.01.1977
-,Kampenhout,-,01.01.0001,31.12.9999
-,Kapelle-op-den-Bos,-,01.01.0001,31.12.9999
-,Kester,-,01.01.0001,03.01.1977
-,Kobbegem,-,01.01.0001,02.01.1977
-,Leerbeek,-,01.01.0001,03.01.1977
-,Lembeek,-,01.01.0001,01.01.1977
-,Liedekerke,-,01.01.0001,31.12.9999
-,Londerzeel,-,01.01.0001,31.12.9999
-,Lot,-,01.01.0001,02.01.1977
-,Machelen (Brab.),-,01.01.0001,31.12.9999
-,Malderen,-,01.01.0001,01.01.1977
-,Mazenzele,-,01.01.0001,01.01.1977
-,Meise,-,01.01.0001,31.12.9999
-,Melsbroek,-,01.01.0001,01.01.1977
-,Merchtem,-,01.01.0001,31.12.9999
-,Mollem,-,01.01.0001,02.01.1977
-,Muizen,-,01.01.0001,02.01.1977
-,Nederokkerzeel,-,01.01.0001,02.01.1977
-,Nieuwenrode,-,01.01.0001,03.01.1977
-,Nossegem,-,01.01.0001,02.01.1977
-,Oetingen,-,01.01.0001,03.01.1977
-,Onze-Lieve-Vrouw-Lombeek,-,01.01.0001,02.01.1965
-,Opwijk,-,01.01.0001,31.12.9999
-,Oudenaken,-,01.01.0001,02.01.1977
-,Overijse,-,01.01.0001,31.12.9999
-,Pamel,-,01.01.0001,02.01.1965
-,Pepingen,-,01.01.0001,31.12.9999
-,Perk,-,01.01.0001,01.01.1977
-,Peutie,-,01.01.0001,06.01.1977
-,Ramsdonk,-,01.01.0001,03.01.1977
-,Relegem,-,01.01.0001,02.01.1977
-,Ruisbroek (Brab.),-,01.01.0001,02.01.1977
-,Schepdaal,-,01.01.0001,02.01.1977
-,Sint-Katherina-Lombeek,-,01.01.0001,02.01.1977
-,Sint-Kwintens-Lennik,-,01.01.0001,01.01.1977
-,Sint-Laureins-Berchem,-,01.01.0001,02.01.1977
-,Sint-Martens-Bodegem,-,01.01.0001,02.01.1977
-,Sint-Martens-Lennik,-,01.01.0001,01.01.1977
Saint-Pierre-Capelle,Sint-Pieters-Kapelle,Sint-Pieters-Kapelle,01.01.0001,28.04.1977
-,Sint-Pieters-Leeuw,-,01.01.0001,31.12.9999
Woluwe-Saint-Etienne,Sint-Stevens-Woluwe,Sint-Stevens-Woluwe,01.01.0001,02.01.1977
-,Sint-Ulriks-Kapelle,-,01.01.0001,02.01.1977
-,Steenhuffel,-,01.01.0001,01.01.1977
-,Steenokkerzeel,-,01.01.0001,31.12.9999
-,Sterrebeek,-,01.01.0001,02.01.1977
-,Strijtem,-,01.01.0001,02.01.1965
-,Strombeek-Bever,-,01.01.0001,03.01.1977
-,Teralfene,-,01.01.0001,01.01.1977
-,Ternat,-,01.01.0001,31.12.9999
-,Tollembeek,-,01.01.0001,02.01.1977
Vilvorde,Vilvoorde,Vilvoorde,01.01.0001,31.12.9999
-,Vlezenbeek,-,01.01.0001,02.01.1977
-,Vollezele,-,01.01.0001,02.01.1977
-,Wambeek,-,01.01.0001,02.01.1977
-,Weerde,-,01.01.0001,01.01.1977
-,Wolvertem,-,01.01.0001,24.03.1977
-,Zaventem,-,01.01.0001,31.12.9999
-,Zellik,-,01.01.0001,02.01.1977
-,Zemst,-,01.01.0001,31.12.9999
-,Roosdaal,-,02.01.1965,31.12.9999
-,Drogenbos,-,01.01.0001,31.12.9999
-,Kraainem,-,01.01.0001,31.12.9999
-,Linkebeek,-,01.01.0001,31.12.9999
Rhode-Saint-Genèse,Sint-Genesius-Rode,-,01.01.0001,31.12.9999
-,Wemmel,-,01.01.0001,31.12.9999
-,Wezembeek-Oppem,-,01.01.0001,31.12.9999
-,Lennik,-,01.01.1977,31.12.9999
-,Affligem,-,01.01.0001,31.12.9999
-,Aarschot,-,01.01.0001,31.12.9999
-,Assent,-,01.01.0001,03.01.1977
-,Attenhoven,-,01.01.0001,02.01.1977
-,Attenrode,-,01.01.0001,01.01.1977
-,Averbode,-,01.01.0001,02.01.1977
-,Baal,-,01.01.0001,03.01.1977
-,Begijnendijk,-,01.01.0001,31.12.9999
-,Bekkevoort,-,01.01.0001,31.12.9999
-,Bertem,-,01.01.0001,31.12.9999
-,Betekom,-,01.01.0001,03.01.1977
-,Bierbeek,-,01.01.0001,31.12.9999
-,Binkom,-,01.01.0001,01.01.1977
-,Blanden,-,01.01.0001,22.02.1977
-,Boortmeerbeek,-,01.01.0001,31.12.9999
-,Bost,-,01.01.0001,01.01.1971
-,Boutersem,-,01.01.0001,31.12.9999
